Year,M_Year_r1,M_Year_r2,M_Year_k1,M_Year_k2,M_Year_m1,M_Year_mh1,RAWLINGS1,AnnotationR1,TooltipR1,RAWLINGS2,AnnotationR2,TooltipR2,KUFFOUR1,AnnotationK1,TooltipK1,KUFFOUR2,AnnotationK2,TooltipK2,MILLS1,AnnotationM1,TooltipsM1,MAHAMA2,AnnotationM2,,YearBars,Style,Annotation,New,old
Feb-Year3,Feb-95,Feb-99,Feb-03,Feb-07,Feb-11,Feb-15,0.1057,,"NDC (Rawlings1): Feb-95 , 0.1057 Ghc",0.2351,,"NDC (Rawlings2): Feb-99 , 0.2351 Ghc",0.8351,,"NDC (Kuffour1): Feb-03 , 0.8351 Ghc",0.8879,,"NDC (Kuffour2): Feb-07 , 0.8879 Ghc",1.5096,,"NDC (Mills1): Feb-11 , 1.5096 Ghc",3.3947,,"NDC (Mahama1): Feb-15 , 3.3947 Ghc",4,color: gray; opacity: 0.3,null,"['Feb-Year3',0.1057,null,0.2351,null,0.8351,null,0.8879,null,1.5096,null,3.3947,null,4,'color: gray; opacity: 0.3',null],","[new Date(2002,2),0.1057,null, 'NDC (Rawlings1): 2-1995 , 0.1057',0.2351,null,0.8351,null,0.8879,null,1.5096,null,3.3947,null,4],"
Mar-Year3,Mar-95,Mar-99,Mar-03,Mar-07,Mar-11,Mar-15,0.1068,,"NDC (Rawlings1): Mar-95 , 0.1068 Ghc",0.2382,,"NDC (Rawlings2): Mar-99 , 0.2382 Ghc",0.8204,,"NDC (Kuffour1): Mar-03 , 0.8204 Ghc",0.8922,,"NDC (Kuffour2): Mar-07 , 0.8922 Ghc",1.5105,,"NDC (Mills1): Mar-11 , 1.5105 Ghc",3.6098,,"NDC (Mahama1): Mar-15 , 3.6098 Ghc",4,color: gray; opacity: 0.3,null,"['Mar-Year3',0.1068,null,0.2382,null,0.8204,null,0.8922,null,1.5105,null,3.6098,null,4,'color: gray; opacity: 0.3',null],","[new Date(2002,3),0.1068,null, 'NDC (Rawlings1): 3-1995 , 0.1068',0.2382,null,0.8204,null,0.8922,null,1.5105,null,3.6098,null,4],"
Apr-Year3,Apr-95,Apr-99,Apr-03,Apr-07,Apr-11,Apr-15,0.1112,,"NDC (Rawlings1): Apr-95 , 0.1112 Ghc",0.2431,,"NDC (Rawlings2): Apr-99 , 0.2431 Ghc",0.8337,,"NDC (Kuffour1): Apr-03 , 0.8337 Ghc",0.8919,,"NDC (Kuffour2): Apr-07 , 0.8919 Ghc",1.4988,,"NDC (Mills1): Apr-11 , 1.4988 Ghc",3.807,,"NDC (Mahama1): Apr-15 , 3.807 Ghc",4,color: gray; opacity: 0.3,null,"['Apr-Year3',0.1112,null,0.2431,null,0.8337,null,0.8919,null,1.4988,null,3.807,null,4,'color: gray; opacity: 0.3',null],","[new Date(2002,4),0.1112,null, 'NDC (Rawlings1): 4-1995 , 0.1112',0.2431,null,0.8337,null,0.8919,null,1.4988,null,3.807,null,4],"
May-Year3,May-95,May-99,May-03,May-07,May-11,May-15,0.1124,,"NDC (Rawlings1): May-95 , 0.1124 Ghc",0.2454,,"NDC (Rawlings2): May-99 , 0.2454 Ghc",0.8399,,"NDC (Kuffour1): May-03 , 0.8399 Ghc",0.8947,,"NDC (Kuffour2): May-07 , 0.8947 Ghc",1.4977,,"NDC (Mills1): May-11 , 1.4977 Ghc",3.9252,NDC (Mahama 1),"NDC (Mahama1): May-15 , 3.9252 Ghc",4,color: gray; opacity: 0.3,null,"['May-Year3',0.1124,null,0.2454,null,0.8399,null,0.8947,null,1.4977,null,3.9252,null,4,'color: gray; opacity: 0.3',null],","[new Date(2002,5),0.1124,null, 'NDC (Rawlings1): 5-1995 , 0.1124',0.2454,null,0.8399,null,0.8947,null,1.4977,null,3.9252,null,4],"
Jun-Year3,Jun-95,Jun-99,Jun-03,Jun-07,Jun-11,Jun-15,0.1153,,"NDC (Rawlings1): Jun-95 , 0.1153 Ghc",0.2499,,"NDC (Rawlings2): Jun-99 , 0.2499 Ghc",0.8372,NPP (Kuffour 1),"NDC (Kuffour1): Jun-03 , 0.8372 Ghc",0.9078,,"NDC (Kuffour2): Jun-07 , 0.9078 Ghc",1.5032,,"NDC (Mills1): Jun-11 , 1.5032 Ghc",4.2504,,"NDC (Mahama1): Jun-15 , 4.2504 Ghc",4,color: gray; opacity: 0.3,null,"['Jun-Year3',0.1153,null,0.2499,null,0.8372,null,0.9078,null,1.5032,null,null,null,4,'color: gray; opacity: 0.3',null],","[new Date(2002,6),0.1153,null, 'NDC (Rawlings1): 6-1995 , 0.1153',0.2499,null,0.8372,null,0.9078,null,1.5032,null,null,null,4],"
Jul-Year3,Jul-95,Jul-99,Jul-03,Jul-07,Jul-11,Jul-15,0.1179,,"NDC (Rawlings1): Jul-95 , 0.1179 Ghc",0.2565,,"NDC (Rawlings2): Jul-99 , 0.2565 Ghc",0.8398,,"NDC (Kuffour1): Jul-03 , 0.8398 Ghc",0.9104,,"NDC (Kuffour2): Jul-07 , 0.9104 Ghc",1.5032,,"NDC (Mills1): Jul-11 , 1.5032 Ghc",3.6843,,"NDC (Mahama1): Jul-15 , 3.6843 Ghc",4,color: gray; opacity: 0.3,Third Year,"['Jul-Year3',0.1179,null,0.2565,null,0.8398,null,0.9104,null,1.5032,null,null,null,4,'color: gray; opacity: 0.3',Third Year],","[new Date(2002,7),0.1179,null, 'NDC (Rawlings1): 7-1995 , 0.1179',0.2565,null,0.8398,null,0.9104,null,1.5032,null,null,null,4],"
Aug-Year3,Aug-95,Aug-99,Aug-03,Aug-07,Aug-11,Aug-15,0.1193,,"NDC (Rawlings1): Aug-95 , 0.1193 Ghc",0.2595,,"NDC (Rawlings2): Aug-99 , 0.2595 Ghc",0.8411,,"NDC (Kuffour1): Aug-03 , 0.8411 Ghc",0.9152,,"NDC (Kuffour2): Aug-07 , 0.9152 Ghc",1.5066,,"NDC (Mills1): Aug-11 , 1.5066 Ghc",3.9765,,"NDC (Mahama1): Aug-15 , 3.9765 Ghc",4,color: gray; opacity: 0.3,null,"['Aug-Year3',0.1193,null,0.2595,null,0.8411,null,0.9152,null,1.5066,null,null,null,4,'color: gray; opacity: 0.3',null],","[new Date(2002,8),0.1193,null, 'NDC (Rawlings1): 8-1995 , 0.1193',0.2595,null,0.8411,null,0.9152,null,1.5066,null,null,null,4],"
Sep-Year3,Sep-95,Sep-99,Sep-03,Sep-07,Sep-11,Sep-15,0.1247,,"NDC (Rawlings1): Sep-95 , 0.1247 Ghc",0.2644,,"NDC (Rawlings2): Sep-99 , 0.2644 Ghc",0.8419,,"NDC (Kuffour1): Sep-03 , 0.8419 Ghc",0.9217,,"NDC (Kuffour2): Sep-07 , 0.9217 Ghc",1.5431,,"NDC (Mills1): Sep-11 , 1.5431 Ghc",3.8678,,"NDC (Mahama1): Sep-15 , 3.8678 Ghc",4,color: gray; opacity: 0.3,null,"['Sep-Year3',0.1247,null,0.2644,null,0.8419,null,0.9217,null,1.5431,null,null,null,4,'color: gray; opacity: 0.3',null],","[new Date(2002,9),0.1247,null, 'NDC (Rawlings1): 9-1995 , 0.1247',0.2644,null,0.8419,null,0.9217,null,1.5431,null,null,null,4],"
Oct-Year3,Oct-95,Oct-99,Oct-03,Oct-07,Oct-11,Oct-15,0.1332,,"NDC (Rawlings1): Oct-95 , 0.1332 Ghc",0.2759,,"NDC (Rawlings2): Oct-99 , 0.2759 Ghc",0.8409,,"NDC (Kuffour1): Oct-03 , 0.8409 Ghc",0.928,NPP (Kuffour 2),"NDC (Kuffour2): Oct-07 , 0.928 Ghc",1.5955,,"NDC (Mills1): Oct-11 , 1.5955 Ghc",,,"NDC (Mahama1): Oct-15 , null Ghc",4,color: gray; opacity: 0.3,null,"['Oct-Year3',0.1332,null,0.2759,null,0.8409,null,0.928,null,1.5955,null,null,null,4,'color: gray; opacity: 0.3',null],","[new Date(2002,10),0.1332,null, 'NDC (Rawlings1): 10-1995 , 0.1332',0.2759,null,0.8409,null,0.928,null,1.5955,null,null,null,4],"
Nov-Year3,Nov-95,Nov-99,Nov-03,Nov-07,Nov-11,Nov-15,0.138,,"NDC (Rawlings1): Nov-95 , 0.138 Ghc",0.3268,,"NDC (Rawlings2): Nov-99 , 0.3268 Ghc",0.8504,,"NDC (Kuffour1): Nov-03 , 0.8504 Ghc",0.95,,"NDC (Kuffour2): Nov-07 , 0.95 Ghc",1.6003,,"NDC (Mills1): Nov-11 , 1.6003 Ghc",,,"NDC (Mahama1): Nov-15 , null Ghc",4,color: gray; opacity: 0.3,null,"['Nov-Year3',0.138,null,0.3268,null,0.8504,null,0.95,null,1.6003,null,null,null,4,'color: gray; opacity: 0.3',null],","[new Date(2002,11),0.138,null, 'NDC (Rawlings1): 11-1995 , 0.138',0.3268,null,0.8504,null,0.95,null,1.6003,null,null,null,4],"
